,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise
0,@collettef64 @Droichead_Arts @drogartsfest @Louthchat Some of us working hardsome of us on a tea break ?,0.07405400276184082,0.03013787977397442,0.1859598606824875,0.25001463294029236,0.11131690442562103,0.34851667284965515
1,Check this out ???,0.019085628911852837,0.0043998598121106625,0.16408352553844452,0.28599101305007935,0.02617388218641281,0.5002660155296326
2,"@_SocialGain_ MORNING Gain ? ? Like this tweet
? Rt this tweet
? Follow everyone
? Follow back ? #GainWithMike ? #GainWithAlexi?",0.014191589318215847,0.0016343401512131095,0.06674066185951233,0.28485438227653503,0.038513220846652985,0.5940658450126648
3,@MyCoffeeHut ? @Myalarose Oh It?s #Friday again Share the love that was missing during the week In a worthy Book and a #coffee?,0.006576735991984606,0.0009543672204017639,0.015399232506752014,0.7737360000610352,0.09093470871448517,0.11239898204803467
4,Are you a tea or a coffee person? ??? ? Coffee person??,0.1907820999622345,0.009550881572067738,0.12014955282211304,0.4578452706336975,0.09189360588788986,0.12977859377861023
5,"@rosirivera261 Morning dear friends?
#HappyWednesday ?",0.00024064414901658893,9.795853111427277e-05,0.0008390711154788733,0.7531176209449768,0.003259980818256736,0.24244476854801178
6,@whiteteddybear5 @Cassity_C @viktorinini @Amber02150 @pintsize73 @marienassar_ @MarionSpekker @dct_ihjc @chiba3111218 @HeidiStea @betti?,6.049792136764154e-05,1.9279573280073237e-06,0.00708635663613677,0.9925894737243652,0.00020733516430482268,5.445304122986272e-05
7,"@bluesanctuary1 How about a coffee in my garden? ? ?
Hello Twitterland  Happy days y'all ?",0.0012433783849701285,0.00011211791570531204,0.0034492933191359043,0.7995905876159668,0.0016210025642067194,0.19398362934589386
8,"@ReneeCarrollAZ #FridayFeeling
? Good Morning Patriots ? ""Mercy and Truth are met together righteousness and peace have kissed each o?",0.006747868377715349,5.234342097537592e-05,0.11006300151348114,0.8816277980804443,0.001208957633934915,0.0003000939032062888
9,"@GotPumpkinMB #MTVLAKPOPGOT7 #PremiosMTVMiaw #GOT7 @GOT7Official
? Lucky babies ",0.0046024443581700325,0.0025086470413953066,0.0276203416287899,0.5112113356590271,0.020289620384573936,0.4337675869464874
10,"Change of pace ??
#farmersmarket #rebelwell @ Windermere Florida",0.0025462305638939142,0.0013644484570249915,0.06162967160344124,0.26595109701156616,0.00771720428019762,0.6607913374900818
11,@pjshaw192 @_unapologetica @RealMissAnxiety @Cyan_Rose @JodieVolunteers Sorry to hear that Hope you are trying to keep a healthy mindset and positive thinking Tea and hobnobs go a treat ?,0.021112659946084023,0.0003411168872844428,0.0009854845702648163,0.9741506576538086,0.0008455753559246659,0.002564544789493084
12,@Defendario @mcspocky @LungMD01 Just spewed coffee ? &gt&lt,0.14613652229309082,0.022976968437433243,0.05709174647927284,0.19832013547420502,0.03331996873021126,0.5421546101570129
13,"@_SocialGain_ MORNING Gain ? ? Like this tweet
? Rt this tweet
? Follow everyone
? Follow back ? #GainWithMike ? #GainWithAlexi?",0.014191589318215847,0.0016343401512131095,0.06674066185951233,0.28485438227653503,0.038513220846652985,0.5940658450126648
14,"Thread of my BTS songs cover ?
Coffee ?",0.018079770728945732,0.0026664002798497677,0.11276192218065262,0.7220789194107056,0.08958936482667923,0.05482358857989311
15,@CrabbyPattie4u Good Morning love Jodi ??? have a very nice day ?,0.0007227107416838408,0.000169131817528978,0.0025207395665347576,0.7795798778533936,0.008094698190689087,0.20891280472278595
16,@nieuwemarlean Have a Nice day all ????????,0.0020047577563673258,0.00048515951493754983,0.009659170173108578,0.7845771908760071,0.008188188076019287,0.1950855851173401
17,@Colizel Like you did to me when that question app was popular ?,0.09617286920547485,0.11280619353055954,0.1274724006652832,0.03291601687669754,0.19036009907722473,0.4402724504470825
18,@Bongminie COFFEE MAKES ME ALIVE AND ENERGETIC BUT YOU BOTH MAKE MY LIFE SO BRIGHT COZ YOU ARE BOTH ANGELIC ~ ??? PS YOU BOTH ARE MY?,0.03612997382879257,0.0012220245553180575,0.03176851198077202,0.9278033971786499,0.0021725958213210106,0.0009035667753778398
19,@NerissaaEmy @DerekPa16641676 Thank you my dear Derek and I hope you have a great Friday ???,0.0021734321489930153,0.0003456927661318332,0.05987212434411049,0.5654889941215515,0.011158530600368977,0.3609612286090851
20,@HotelChocolat @lawson_ros Not at all - we know it is too good to resist ?,0.03151673823595047,0.0038177864626049995,0.09288495779037476,0.4271632432937622,0.2968877851963043,0.14772950112819672
21,"Let me know when yall do a thread about holding these women accountable for being abusive ""Men beaters"" &amp how there are several men in the world fearing for their life but to embarrass to ask for help out of fear of being laughed at &amp called a punk Thread about that shit ?",0.008835225366055965,0.0011135339736938477,0.9367238879203796,0.048344045877456665,0.003252797294408083,0.001730327494442463
22,Good morning ? Here are Friday's #Christian eBook deals We hope you find a great book  or two to read today,0.0016114853788167238,0.0007302533485926688,0.027079444378614426,0.44485747814178467,0.04918232187628746,0.47653892636299133
23,Coffee time ?,0.004345765803009272,0.0008676901925355196,0.00658712862059474,0.7415387630462646,0.09130462259054184,0.15535615384578705
24,@mcspocky @LungMD01 Just spewed coffee ? &gt&lt,0.13592638075351715,0.019352659583091736,0.04688270390033722,0.15643687546253204,0.0344814732670784,0.6069198250770569
25,coffee ?,0.008014691062271595,0.0014757976168766618,0.021184835582971573,0.823072612285614,0.09254135191440582,0.05371068790555
26,"@btspresso_ ? @btspresso_'s spring giveaway ?? &amp FOLLOW to join ??
incl pictured --
 LYHer ver E (opened/no pc)
 2x mediheal?",0.18727466464042664,0.02097068727016449,0.06930537521839142,0.14011511206626892,0.03458358719944954,0.5477505326271057
27,@SlateBoyPH [HQ] 171223 Busan Fancon His favorite pose so far ? summer950825 #ongseongwoo #??? #wannaone #??? - ? ?,0.0011579188285395503,3.106521398876794e-05,0.01074884831905365,0.8983662724494934,0.0061751133762300014,0.08352084457874298
28,Happy Birthday Medina ?? We are fortunate that you are part of our #circleofrunners Cheers to many more memories and miles ???+?= #FreshRoastFriday #shoalcreekstriders #stridersrunatx,0.0009552988922223449,9.900789154926315e-05,0.014004685916006565,0.9834596514701843,0.000326076551573351,0.0011552972719073296
29,@rosirivera261 Morning?,0.016813645139336586,0.012042309157550335,0.10728389024734497,0.27014175057411194,0.06366424262523651,0.5300542116165161
30,I like my coffee like I like my lovers very strong extremely hot super sweet and keeps me up all night twitching ???,0.07201094180345535,0.006346530746668577,0.028734412044286728,0.6263374090194702,0.02149738185107708,0.24507325887680054
31,@lha_again Oh no had the shop sold out of the vegan cookie? We hope the free coffee softened the blow ?,0.0494152195751667,0.009209747426211834,0.043684035539627075,0.02465253323316574,0.8433442115783691,0.02969423681497574
32,"@rosirivera261 Morning?
Happy day to all dear friends",8.198036812245846e-05,6.967567060200963e-06,0.00022788034402765334,0.9966185092926025,0.000985258724540472,0.0020792942959815264
33,"@rosirivera261 Morning?
Thanks so much to all dear friends",0.0010921582579612732,0.00012810001499019563,0.0072310143150389194,0.9368271827697754,0.03830120712518692,0.016420360654592514
34,Stop in or drive-thru and save $2 OFF any coffee bar item from @IACoffeeBar when you use your @taponitcr offer ? No matter if you're a first-time coffee/smoothie drinker or a professional Innovative wants to be your go-to choice,0.021927621215581894,0.020756833255290985,0.05716467276215553,0.42307049036026,0.034997425973415375,0.4420829117298126
35,@Jimwhit69 Love your positive quirky attitude to what you have going right now ? Very Best Wishes to you Whitx #inspiration,0.002170593710616231,2.565737668192014e-05,0.005391980521380901,0.9877910614013672,0.0020882957614958286,0.0025325592141598463
36,@x_paula_x90 Hey bb's I want to say hello  I'm busy today Need a coffee now omg ?????? Have a nice day and see you on #cam4 later?,0.0005401530070230365,0.0002069898328045383,0.0015578275779262185,0.09927204251289368,0.010813909582793713,0.88760906457901
37,Beatles and coffee kind of morning ?,0.003365293610841036,0.0004717184929177165,0.009951622225344181,0.7606659531593323,0.026356084272265434,0.19918937981128693
38,Drink it with your sweet lips ?,0.01731913909316063,0.006483383011072874,0.005808231886476278,0.37356311082839966,0.11042224615812302,0.48640382289886475
39,@BroadwayUK Sun29 Apr #Broadway #Wartime in #Cotswolds #Event + @GWSR The Phil Bullas Big Band 2-430pm display of vehicles from per?,0.04593057930469513,0.05997813865542412,0.2788165509700775,0.19439107179641724,0.015871146693825722,0.4050125181674957
40,Do you want a FREE digital overview on your business? Includes coffee with me and bright ideas ? 100% worth it as very useful Let me know and i'll pop you in my calander @birmingham_live #trinitymirror #FridayFeeling #lichfieldlocal #lichfield @LichfieldBID,0.02418646775186062,0.03956791013479233,0.6188698410987854,0.2900960147380829,0.024208899587392807,0.0030707765836268663
41,@ElementaryItIs I was only responding back to my post only And I DID NOT say Short $CMG If you are responding to what everyone is posting? Please be clear of it But keep watching $CMG in coming days ??,0.410367488861084,0.02320941910147667,0.0936572253704071,0.3486173152923584,0.08402375876903534,0.04012482985854149
42,@EdibleBrooklyn Exciting news for @nobletree coffee fans their second location @DeKalbMrktHall opens this weekend 4/28-4/29 ? &amp&amp&amp head?,0.0004771864041686058,3.061260940739885e-06,0.3192119896411896,0.679807186126709,0.0003014474641531706,0.00019915048324037343
43,@BlackEye_CBrew LAST CHANCE to 'Unleash the Brew in You' &amp enter our first-ever #competition # &amp #Follow for your chance to #win?,0.002454992150887847,0.00038100668461993337,0.15031200647354126,0.34172362089157104,0.008624652400612831,0.49650365114212036
44,"?12oz of coffee
?1 scoop chocolate protein 1 banana ??2 tablespoons vanilla Greek Yogurt #goodvibes #goodmorning #smoothierecipes #butfirstcoffee #coffee #breakfast #smoothie #yogurt #banana #healthyoption #diet #healthy #easyrecipes @qu?",0.1424938589334488,0.03803453594446182,0.4981710612773895,0.17765145003795624,0.08743613958358765,0.056212928146123886
45,@1MillionCupsRTP ? 1MC-RTP Weekly Recap ? This week at 1 Million Cups- RTP we had John Austin of NCIDEA &amp Doug Speight of American Und?,0.0004247014585416764,1.4613493704018765e-06,0.04832347854971886,0.9510136246681213,0.00020118561224080622,3.543613274814561e-05
46,??You can make #delicious #chicken #stock It's #easy when you know the #food science behind the #cooking method?#glutenfree #homemade #recipe #broth #soup #sauce #gravy #stew #poultry #healthy #health #healthyfood #comfortfood #goodfood,0.05103587731719017,0.0031545187812298536,0.20534129440784454,0.7287222743034363,0.0020430125296115875,0.009703008458018303
47,? @Myalarose Oh It?s #Friday again Share the love that was missing during the week In a worthy Book and a #coffee ??,0.0013876924058422446,0.00011152505612699315,0.003463378408923745,0.9492219090461731,0.012624399736523628,0.033191122114658356
48,@WellbeingCoach6 @Pontifex Looks stunning And what a time to be alive when The Pope has got a verified Twitter account  Enjoy your break mate ?,0.013299193233251572,0.00039194454438984394,0.38394951820373535,0.5791394710540771,0.0004191271145828068,0.022800764068961143
49,@steve_palopoli Steve don't drink to much coffee ? You have A great day Dear??,0.030980201438069344,0.003790121292695403,0.04344436526298523,0.46267175674438477,0.2618789076805115,0.19723470509052277
50,@KNK_Inseongs it's indeed triggering but i aint got no time for such cheap tea ?,0.044137537479400635,0.006714136805385351,0.04066351428627968,0.09425054490566254,0.7282096743583679,0.08602450788021088
51,Morning coffee ?,0.005106564145535231,0.001992281060665846,0.017461542040109634,0.8885958790779114,0.02317642793059349,0.06366744637489319
52,@wjmildear Take it ?,0.006658225320279598,0.0038744041230529547,0.0667128711938858,0.18462933599948883,0.009861745871603489,0.7282634377479553
53,"@LocksJPR ?Lockscreen?
? Zhang Yixing (Lay)
? Exo ? ",0.09419653564691544,0.0062819430604577065,0.8133847713470459,0.058015260845422745,0.016901148483157158,0.011220315471291542
54,Waiting for movies coffee ? #Weekend,0.0035855728201568127,0.0004071395087521523,0.0051762405782938,0.5412205457687378,0.3719298541545868,0.0776805654168129
55,@SherryBretz05 @Jesus_Luvs_Us @acejordan23 @Jimmysimmonds1 @karenslinn43 @ClockworkHamma @MyEngland2016 @Peeperpea29 @Jilliemary @Light?,8.21777357487008e-05,3.064337761315983e-06,0.008954467251896858,0.9827325344085693,0.00819770060479641,3.001426375703886e-05
56,YouTube shooooo got some weird videos on celebrities being cloned hmmm ?,0.0069430251605808735,0.009497749619185925,0.026530306786298752,0.02940295822918415,0.046189986169338226,0.8814359903335571
57,"@kpak0123 Good morning everyone ? ? 
Have a nice day ",0.0018175676232203841,0.0002813789760693908,0.003299538278952241,0.6558650135993958,0.006641016341745853,0.33209550380706787
58,@pvermeul_peter Learned a new word today procaffeinating the tendency to not start anything until you've had a cup of coffee ? ht?,0.004909445531666279,0.0014186977641656995,0.03301374614238739,0.5405930280685425,0.02326687052845955,0.39679819345474243
59,"@DDLabour JOIN the NHS's 70th birthday celebrations at Royal Derby Hospital show you caresave the NHS ???
#ACTIONNOTJUSTWORDS?",0.002003803849220276,0.00045714006409980357,0.028725340962409973,0.07418780028820038,0.010731160640716553,0.883894681930542
60,@lirpalomina @AngryBlackLady Lol Ok Thanks I need my ?,0.14465855062007904,0.024445202201604843,0.16692259907722473,0.18558882176876068,0.2851882576942444,0.193196639418602
61,"@carolina64raven #FridayFeeling ""Morning Lovelies""?",0.05695629492402077,0.011342634446918964,0.07593093067407608,0.5155044794082642,0.26451167464256287,0.07575394958257675
62,"JOIN the NHS's 70th birthday celebrations at Royal Derby Hospital show you caresave the NHS ???
#ACTIONNOTJUSTWORDS #WeStandUnited #OurNHS #LABOURcares #NHS70 #HappyBirthday",0.0037151691503822803,0.0013942285440862179,0.018993355333805084,0.5193620324134827,0.00044087370042689145,0.45609432458877563
63,@chyasir131 @62Roses (thankyou dear  and Good morning to you too ?,0.024295926094055176,0.0026102284900844097,0.07401727139949799,0.3108862042427063,0.10497922450304031,0.48321112990379333
64,"@chiba3111218 @Koksalakn Thank you for your kind words?
I am sincerely thankful to you all of the time?
Have a nice weekend??",0.0006042083841748536,8.828664431348443e-05,0.0033514450769871473,0.9397779107093811,0.007511296309530735,0.04866683855652809
65,@FancyJFans GUESS WHO IS ON @kofi_button PLEASE SUPPORT MAKING MUSIC ISN'T CHEAP AND HARDER WHEN PEOPLE ILLEGALLY DOWNLOAD IT @iamf?,0.6886946558952332,0.10296231508255005,0.11871697753667831,0.013104164972901344,0.043622273951768875,0.03289950639009476
66,Daily energy ? #worktime #caffeine #Atlanta #classic #Friday #coffee #luxury #money #lifestyle?,0.0008610996301285923,1.7536627638037317e-05,0.00272608594968915,0.9901720881462097,0.0004124042752664536,0.005810796283185482
67,"@iwantthequeens Fresh reimbursement opportunities ?27 lunch
?850 uber
?14 coffee ? you're welcome sluts",0.050651829689741135,0.01924906112253666,0.0772785097360611,0.39437755942344666,0.0761156901717186,0.3823273181915283
68,@RZIMhq On the #ThinkingOutLoudPodcast @N_Rittenhouse1 and @CamMcAllister7 focus on the nature of the public response to the recent St?,0.003869206178933382,2.2686832380713895e-05,0.44034305214881897,0.5551835894584656,0.00048685941146686673,9.463707829127088e-05
69,This #Herbaltea has a very sweetie tastie '#GreenTea Natural Flavouring (7%) #Tea #Positivenergy #Hippyvibes #Govegan ? ?,0.0015362492995336652,2.497690002201125e-05,0.013492113910615444,0.975623607635498,0.0006952696130611002,0.008627692237496376
70,@294051f6a9c842d @kuahmad1956 Good evening??,0.007810971233993769,0.001249987748451531,0.029247397556900978,0.8094427585601807,0.016945993527770042,0.13530291616916656
71,@kuahmad1956 Good evening??,0.005045294761657715,0.0006742198020219803,0.015472782775759697,0.8513777852058411,0.013489115983247757,0.11394086480140686
72,"@ysmn___ysmn @Jn_7L Thank you very much dear Janna
Yes it is so 
Have an amazing week ?",0.001759387319907546,0.00048739847261458635,0.014684720896184444,0.6642566919326782,0.04570651426911354,0.273105263710022
73,"@ysmn___ysmn @Jn_7L Thank you my dear Janna 
You and your heart are so special 
Have a beautiful new week my sister ? ?",0.00029877974884584546,2.0321243937360123e-05,0.0034086056984961033,0.7274390459060669,0.005326942540705204,0.2635062634944916
